METHOD,SIZE,TIME
Naive,100,0.006941
Better,100,0.006391
BLAS,100,0.000837
Naive,100,0.006504
Better,100,0.005874
BLAS,100,0.000957
Naive,100,0.006103
Better,100,0.005828
BLAS,100,0.000835
Naive,100,0.006149
Better,100,0.005806
BLAS,100,0.000983
Naive,100,0.006058
Better,100,0.005924
BLAS,100,0.000853
Naive,100,0.006458
Better,100,0.005881
BLAS,100,0.000921
Naive,100,0.006614
Better,100,0.005940
BLAS,100,0.000887
Naive,100,0.006374
Better,100,0.006013
BLAS,100,0.000851
Naive,100,0.006116
Better,100,0.005930
BLAS,100,0.000873
Naive,100,0.006312
Better,100,0.005814
BLAS,100,0.000848
Naive,200,0.064968
Better,200,0.129410
BLAS,200,0.011915
Naive,200,0.072625
Better,200,0.057652
BLAS,200,0.006911
Naive,200,0.060761
Better,200,0.055177
BLAS,200,0.012304
Naive,200,0.102078
Better,200,0.081229
BLAS,200,0.008622
Naive,200,0.089653
Better,200,0.054684
BLAS,200,0.007265
Naive,200,0.060526
Better,200,0.053691
BLAS,200,0.006782
Naive,200,0.066544
Better,200,0.068124
BLAS,200,0.007508
Naive,200,0.060615
Better,200,0.056667
BLAS,200,0.010065
Naive,200,0.069181
Better,200,0.057883
BLAS,200,0.006755
Naive,200,0.064518
Better,200,0.059155
BLAS,200,0.007236
Naive,300,0.230682
Better,300,0.209671
BLAS,300,0.023642
Naive,300,0.224365
Better,300,0.204606
BLAS,300,0.023575
Naive,300,0.221225
Better,300,0.197363
BLAS,300,0.024893
Naive,300,0.221963
Better,300,0.209802
BLAS,300,0.024642
Naive,300,0.230972
Better,300,0.196344
BLAS,300,0.025605
Naive,300,0.235931
Better,300,0.196054
BLAS,300,0.026569
Naive,300,0.216207
Better,300,0.206331
BLAS,300,0.023881
Naive,300,0.217129
Better,300,0.276733
BLAS,300,0.027750
Naive,300,0.249962
Better,300,0.219670
BLAS,300,0.024365
Naive,300,0.229400
Better,300,0.215764
BLAS,300,0.025713
Naive,400,0.874807
Better,400,0.512076
BLAS,400,0.054638
Naive,400,0.528138
Better,400,0.510994
BLAS,400,0.077973
Naive,400,0.748464
Better,400,0.568779
BLAS,400,0.056165
Naive,400,0.631532
Better,400,0.510400
BLAS,400,0.054407
Naive,400,0.537580
Better,400,0.510946
BLAS,400,0.058399
Naive,400,0.560837
Better,400,0.524263
BLAS,400,0.056508
Naive,400,0.538592
Better,400,0.498350
BLAS,400,0.054392
Naive,400,0.534650
Better,400,0.641604
BLAS,400,0.063393
Naive,400,0.579169
Better,400,0.507068
BLAS,400,0.056701
Naive,400,0.532005
Better,400,0.492001
BLAS,400,0.055393
Naive,500,1.479098
Better,500,1.193666
BLAS,500,0.112224
Naive,500,1.162899
Better,500,1.116957
BLAS,500,0.111353
Naive,500,1.249347
Better,500,1.125878
BLAS,500,0.111075
Naive,500,1.166832
Better,500,1.103562
BLAS,500,0.109877
Naive,500,1.236366
Better,500,1.091276
BLAS,500,0.111328
Naive,500,1.164964
Better,500,1.103507
BLAS,500,0.114310
Naive,500,1.225624
Better,500,1.136262
BLAS,500,0.110629
Naive,500,1.237569
Better,500,1.094643
BLAS,500,0.113315
Naive,500,1.201014
Better,500,1.130701
BLAS,500,0.110637
Naive,500,1.169985
Better,500,1.149539
BLAS,500,0.111521
Naive,600,4.064439
Better,600,2.590476
BLAS,600,0.226204
Naive,600,3.980209
Better,600,2.566309
BLAS,600,0.222246
Naive,600,3.930897
Better,600,2.646795
BLAS,600,0.227321
Naive,600,3.996502
Better,600,2.687648
BLAS,600,0.232353
Naive,600,4.148815
Better,600,2.664972
BLAS,600,0.226942
Naive,600,4.084013
Better,600,2.791689
BLAS,600,0.223958
Naive,600,3.974184
Better,600,2.812810
BLAS,600,0.225794
Naive,600,4.017967
Better,600,2.621458
BLAS,600,0.229608
Naive,600,4.097126
Better,600,2.522969
BLAS,600,0.225803
Naive,600,3.966941
Better,600,2.540882
BLAS,600,0.226274
Naive,700,7.608388
Better,700,5.163194
BLAS,700,0.400440
Naive,700,7.721148
Better,700,5.073553
BLAS,700,0.416593
Naive,700,7.730735
Better,700,5.086568
BLAS,700,0.393771
Naive,700,7.767292
Better,700,5.084688
BLAS,700,0.422617
Naive,700,7.736140
Better,700,5.147242
BLAS,700,0.393217
Naive,700,7.708471
Better,700,5.110359
BLAS,700,0.433484
Naive,700,7.970651
Better,700,5.085542
BLAS,700,0.424720
Naive,700,7.737632
Better,700,5.117560
BLAS,700,0.403689
Naive,700,7.790844
Better,700,5.299564
BLAS,700,0.423457
Naive,700,8.005977
Better,700,5.316284
BLAS,700,0.403756
Naive,800,11.951797
Better,800,9.082079
BLAS,800,0.733623
Naive,800,11.867977
Better,800,8.611937
BLAS,800,0.745508
Naive,800,11.693155
Better,800,7.942068
BLAS,800,0.758636
Naive,800,11.980463
Better,800,8.471502
BLAS,800,0.822721
Naive,800,11.942790
Better,800,8.314110
BLAS,800,0.731022
Naive,800,12.012268
Better,800,8.332631
BLAS,800,0.682523
Naive,800,12.162203
Better,800,8.064924
BLAS,800,0.729640
Naive,800,11.686635
Better,800,7.984653
BLAS,800,0.702499
Naive,800,11.937950
Better,800,8.331876
BLAS,800,0.742353
Naive,800,11.997310
Better,800,7.936374
BLAS,800,0.731135
Naive,900,16.622800
Better,900,11.735920
BLAS,900,1.139753
Naive,900,16.737961
Better,900,11.694517
BLAS,900,1.105459
Naive,900,16.759853
Better,900,11.642953
BLAS,900,1.103140
Naive,900,16.617454
Better,900,11.866038
BLAS,900,1.044838
Naive,900,16.719451
Better,900,11.675661
BLAS,900,1.103004
Naive,900,16.619680
Better,900,11.858546
BLAS,900,1.020208
Naive,900,16.618911
Better,900,11.671329
BLAS,900,1.103144
Naive,900,16.677851
Better,900,11.661886
BLAS,900,1.105459
Naive,900,16.674837
Better,900,12.033140
BLAS,900,1.035949
Naive,900,16.920998
Better,900,11.696468
BLAS,900,1.103314
Naive,1000,23.321130
Better,1000,17.066669
BLAS,1000,1.449996
Naive,1000,23.722451
Better,1000,17.199569
BLAS,1000,1.529594
Naive,1000,24.214703
Better,1000,17.093466
BLAS,1000,1.460409
Naive,1000,23.059003
Better,1000,16.762498
BLAS,1000,1.529151
Naive,1000,23.696800
Better,1000,17.185628
BLAS,1000,1.465107
Naive,1000,23.888981
Better,1000,17.278233
BLAS,1000,1.722284
Naive,1000,23.944781
Better,1000,16.551430
BLAS,1000,1.451033
Naive,1000,23.472364
Better,1000,16.483871
BLAS,1000,1.447559
Naive,1000,23.398093
Better,1000,16.537699
BLAS,1000,1.448384
Naive,1000,23.193877
Better,1000,16.543546
BLAS,1000,1.459267
