LEVEL,SIZE,TIME
1,1,0.000000
2,1,0.000001
1,1,0.000000
2,1,0.000000
1,1,0.000000
2,1,0.000000
1,1,0.000000
2,1,0.000000
1,1,0.000000
2,1,0.000000
1,1,0.000000
2,1,0.000000
1,1,0.000000
2,1,0.000000
1,1,0.000000
2,1,0.000000
1,1,0.000000
2,1,0.000000
1,1,0.000000
2,1,0.000000
1,1001,0.000002
2,1001,0.001544
1,1001,0.000002
2,1001,0.001781
1,1001,0.000002
2,1001,0.001868
1,1001,0.000002
2,1001,0.001511
1,1001,0.000002
2,1001,0.001461
1,1001,0.000002
2,1001,0.001528
1,1001,0.000002
2,1001,0.001606
1,1001,0.000001
2,1001,0.001544
1,1001,0.000001
2,1001,0.001523
1,1001,0.000002
2,1001,0.002006
1,2001,0.000003
2,2001,0.005012
1,2001,0.000004
2,2001,0.005063
1,2001,0.000003
2,2001,0.005858
1,2001,0.000003
2,2001,0.005053
1,2001,0.000004
2,2001,0.004970
1,2001,0.000003
2,2001,0.005117
1,2001,0.000003
2,2001,0.005610
1,2001,0.000003
2,2001,0.005060
1,2001,0.000003
2,2001,0.006238
1,2001,0.000006
2,2001,0.005245
1,3001,0.000004
2,3001,0.011742
1,3001,0.000006
2,3001,0.010983
1,3001,0.000005
2,3001,0.011208
1,3001,0.000005
2,3001,0.011327
1,3001,0.000005
2,3001,0.011002
1,3001,0.000006
2,3001,0.011034
1,3001,0.000006
2,3001,0.011024
1,3001,0.000006
2,3001,0.011352
1,3001,0.000007
2,3001,0.011027
1,3001,0.000006
2,3001,0.011407
1,4001,0.000008
2,4001,0.019624
1,4001,0.000008
2,4001,0.019788
1,4001,0.000008
2,4001,0.020455
1,4001,0.000008
2,4001,0.021546
1,4001,0.000008
2,4001,0.019816
1,4001,0.000008
2,4001,0.019618
1,4001,0.000008
2,4001,0.019891
1,4001,0.000008
2,4001,0.019780
1,4001,0.000007
2,4001,0.022947
1,4001,0.000006
2,4001,0.019491
1,5001,0.000009
2,5001,0.030527
1,5001,0.000008
2,5001,0.031012
1,5001,0.000008
2,5001,0.030505
1,5001,0.000008
2,5001,0.032584
1,5001,0.000008
2,5001,0.030559
1,5001,0.000008
2,5001,0.030449
1,5001,0.000009
2,5001,0.030561
1,5001,0.000009
2,5001,0.030517
1,5001,0.000009
2,5001,0.031435
1,5001,0.000008
2,5001,0.030759
1,6001,0.000009
2,6001,0.043886
1,6001,0.000010
2,6001,0.043749
1,6001,0.000010
2,6001,0.045536
1,6001,0.000009
2,6001,0.043782
1,6001,0.000010
2,6001,0.043749
1,6001,0.000010
2,6001,0.045576
1,6001,0.000010
2,6001,0.043992
1,6001,0.000011
2,6001,0.044651
1,6001,0.000010
2,6001,0.043891
1,6001,0.000010
2,6001,0.043866
1,7001,0.000010
2,7001,0.059691
1,7001,0.000011
2,7001,0.059736
1,7001,0.000010
2,7001,0.060186
1,7001,0.000011
2,7001,0.062867
1,7001,0.000011
2,7001,0.059727
1,7001,0.000010
2,7001,0.064698
1,7001,0.000010
2,7001,0.059661
1,7001,0.000011
2,7001,0.061507
1,7001,0.000011
2,7001,0.059875
1,7001,0.000010
2,7001,0.059457
1,8001,0.000012
2,8001,0.079313
1,8001,0.000012
2,8001,0.086266
1,8001,0.000013
2,8001,0.077736
1,8001,0.000012
2,8001,0.078022
1,8001,0.000013
2,8001,0.077735
1,8001,0.000013
2,8001,0.137871
1,8001,0.000012
2,8001,0.078246
1,8001,0.000013
2,8001,0.084376
1,8001,0.000013
2,8001,0.078072
1,8001,0.000013
2,8001,0.077776
1,9001,0.000015
2,9001,0.098532
1,9001,0.000013
2,9001,0.098299
1,9001,0.000013
2,9001,0.098372
1,9001,0.000013
2,9001,0.098495
1,9001,0.000014
2,9001,0.098357
1,9001,0.000014
2,9001,0.098391
1,9001,0.000013
2,9001,0.098320
1,9001,0.000013
2,9001,0.098325
1,9001,0.000014
2,9001,0.098367
1,9001,0.000013
2,9001,0.098345
1,10001,0.000015
2,10001,0.121781
1,10001,0.000015
2,10001,0.126985
1,10001,0.000015
2,10001,0.121439
1,10001,0.000015
2,10001,0.122899
1,10001,0.000015
2,10001,0.123138
1,10001,0.000015
2,10001,0.124537
1,10001,0.000015
2,10001,0.124613
1,10001,0.000015
2,10001,0.121360
1,10001,0.000015
2,10001,0.121911
1,10001,0.000015
2,10001,0.122485
1,11001,0.000016
2,11001,0.147679
1,11001,0.000016
2,11001,0.148045
1,11001,0.000016
2,11001,0.154686
1,11001,0.000016
2,11001,0.147513
1,11001,0.000016
2,11001,0.149309
1,11001,0.000016
2,11001,0.147491
1,11001,0.000016
2,11001,0.175424
1,11001,0.000015
2,11001,0.147409
1,11001,0.000016
2,11001,0.148771
1,11001,0.000016
2,11001,0.147560
1,12001,0.000018
2,12001,0.175454
1,12001,0.000017
2,12001,0.177260
1,12001,0.000017
2,12001,0.176353
1,12001,0.000017
2,12001,0.177928
1,12001,0.000018
2,12001,0.175046
1,12001,0.000018
2,12001,0.175203
1,12001,0.000017
2,12001,0.176500
1,12001,0.000017
2,12001,0.175261
1,12001,0.000018
2,12001,0.176304
1,12001,0.000017
2,12001,0.177837
1,13001,0.000025
2,13001,0.208829
1,13001,0.000019
2,13001,0.207564
1,13001,0.000019
2,13001,0.207346
1,13001,0.000019
2,13001,0.231484
1,13001,0.000019
2,13001,0.208066
1,13001,0.000018
2,13001,0.208283
1,13001,0.000019
2,13001,0.210998
1,13001,0.000019
2,13001,0.207871
1,13001,0.000019
2,13001,0.208439
1,13001,0.000018
2,13001,0.210697
1,14001,0.000020
2,14001,0.243320
1,14001,0.000019
2,14001,0.245771
1,14001,0.000020
2,14001,0.241762
1,14001,0.000022
2,14001,0.241419
1,14001,0.000020
2,14001,0.243914
1,14001,0.000020
2,14001,0.242352
1,14001,0.000020
2,14001,0.241641
1,14001,0.000020
2,14001,0.242141
1,14001,0.000020
2,14001,0.240987
1,14001,0.000020
2,14001,0.244756
