METHOD,SIZE,TIME
Naive,100,0.006047
Better,100,0.005685
BLAS,100,0.000833
Naive,100,0.006018
Better,100,0.005604
BLAS,100,0.000831
Naive,100,0.006056
Better,100,0.005611
BLAS,100,0.000832
Naive,100,0.005959
Better,100,0.006259
BLAS,100,0.000829
Naive,100,0.005965
Better,100,0.005607
BLAS,100,0.000831
Naive,100,0.005989
Better,100,0.005621
BLAS,100,0.000828
Naive,100,0.005998
Better,100,0.005595
BLAS,100,0.000828
Naive,100,0.006031
Better,100,0.008892
BLAS,100,0.000829
Naive,100,0.005987
Better,100,0.005607
BLAS,100,0.000828
Naive,100,0.006014
Better,100,0.006880
BLAS,100,0.000934
Naive,200,0.060348
Better,200,0.066367
BLAS,200,0.007511
Naive,200,0.061984
Better,200,0.054834
BLAS,200,0.008745
Naive,200,0.064422
Better,200,0.057578
BLAS,200,0.006752
Naive,200,0.058625
Better,200,0.060984
BLAS,200,0.007500
Naive,200,0.067687
Better,200,0.072081
BLAS,200,0.009122
Naive,200,0.099204
Better,200,0.072493
BLAS,200,0.007735
Naive,200,0.071763
Better,200,0.059835
BLAS,200,0.009388
Naive,200,0.064453
Better,200,0.052553
BLAS,200,0.006722
Naive,200,0.058597
Better,200,0.059849
BLAS,200,0.007406
Naive,200,0.062157
Better,200,0.053032
BLAS,200,0.006799
Naive,300,0.235689
Better,300,0.191600
BLAS,300,0.025545
Naive,300,0.215988
Better,300,0.192171
BLAS,300,0.025137
Naive,300,0.213226
Better,300,0.204506
BLAS,300,0.022743
Naive,300,0.210801
Better,300,0.218702
BLAS,300,0.023292
Naive,300,0.225212
Better,300,0.191824
BLAS,300,0.026023
Naive,300,0.265125
Better,300,0.221445
BLAS,300,0.022540
Naive,300,0.213805
Better,300,0.193934
BLAS,300,0.026748
Naive,300,0.218393
Better,300,0.199231
BLAS,300,0.023231
Naive,300,0.213346
Better,300,0.192125
BLAS,300,0.026106
Naive,300,0.245925
Better,300,0.235683
BLAS,300,0.022511
Naive,400,0.520950
Better,400,0.476268
BLAS,400,0.052663
Naive,400,0.527357
Better,400,0.477351
BLAS,400,0.054169
Naive,400,0.552719
Better,400,0.476156
BLAS,400,0.058056
Naive,400,0.520339
Better,400,0.485321
BLAS,400,0.053112
Naive,400,0.527074
Better,400,0.483543
BLAS,400,0.052858
Naive,400,0.517086
Better,400,0.484055
BLAS,400,0.053489
Naive,400,0.522799
Better,400,0.480523
BLAS,400,0.053512
Naive,400,0.517958
Better,400,0.483642
BLAS,400,0.056654
Naive,400,0.519465
Better,400,0.496632
BLAS,400,0.056419
Naive,400,0.523886
Better,400,0.482009
BLAS,400,0.053727
Naive,500,1.106571
Better,500,1.103624
BLAS,500,0.104621
Naive,500,1.134608
Better,500,1.038313
BLAS,500,0.105989
Naive,500,1.131516
Better,500,1.081685
BLAS,500,0.103804
Naive,500,1.332222
Better,500,1.071611
BLAS,500,0.106801
Naive,500,1.124515
Better,500,1.036645
BLAS,500,0.107631
Naive,500,1.103805
Better,500,1.080399
BLAS,500,0.129184
Naive,500,1.287163
Better,500,1.007771
BLAS,500,0.120113
Naive,500,1.077243
Better,500,1.067717
BLAS,500,0.108240
Naive,500,1.125962
Better,500,1.071627
BLAS,500,0.109416
Naive,500,1.089340
Better,500,1.046252
BLAS,500,0.110225
Naive,600,3.791581
Better,600,2.466190
BLAS,600,0.216238
Naive,600,3.942766
Better,600,2.308718
BLAS,600,0.212821
Naive,600,3.894434
Better,600,2.542424
BLAS,600,0.215687
Naive,600,3.815548
Better,600,2.327696
BLAS,600,0.214782
Naive,600,3.939714
Better,600,2.458344
BLAS,600,0.217580
Naive,600,3.715497
Better,600,2.340438
BLAS,600,0.212125
Naive,600,3.962059
Better,600,2.577625
BLAS,600,0.221350
Naive,600,3.771362
Better,600,2.492307
BLAS,600,0.225853
Naive,600,3.856441
Better,600,2.454616
BLAS,600,0.224679
Naive,600,3.753518
Better,600,2.567749
BLAS,600,0.218730
Naive,700,7.512139
Better,700,5.258533
BLAS,700,0.421803
Naive,700,7.586124
Better,700,5.231481
BLAS,700,0.404202
Naive,700,7.491014
Better,700,5.151746
BLAS,700,0.412186
Naive,700,7.597784
Better,700,5.192005
BLAS,700,0.409770
Naive,700,7.594871
Better,700,5.219365
BLAS,700,0.404199
Naive,700,7.581038
Better,700,5.147929
BLAS,700,0.411876
Naive,700,7.284578
Better,700,4.786082
BLAS,700,0.408891
Naive,700,7.381848
Better,700,4.797354
BLAS,700,0.390541
Naive,700,7.396721
Better,700,5.084871
BLAS,700,0.384704
Naive,700,7.325842
Better,700,5.181878
BLAS,700,0.442077
Naive,800,11.385412
Better,800,7.711424
BLAS,800,0.645963
Naive,800,11.412984
Better,800,7.840668
BLAS,800,0.709358
Naive,800,11.637898
Better,800,7.751682
BLAS,800,0.645398
Naive,800,12.452660
Better,800,8.978182
BLAS,800,0.712549
Naive,800,11.819009
Better,800,8.103503
BLAS,800,0.726241
Naive,800,11.644473
Better,800,8.202352
BLAS,800,0.714232
Naive,800,11.814356
Better,800,8.205397
BLAS,800,0.656758
Naive,800,12.680556
Better,800,8.309551
BLAS,800,0.712226
Naive,800,11.520962
Better,800,7.828772
BLAS,800,0.655038
Naive,800,11.350271
Better,800,8.384205
BLAS,800,0.718536
Naive,900,16.478667
Better,900,11.466743
BLAS,900,1.001960
Naive,900,16.881519
Better,900,12.149360
BLAS,900,1.096748
Naive,900,17.015272
Better,900,12.447845
BLAS,900,0.999255
Naive,900,16.535693
Better,900,12.097298
BLAS,900,1.006655
Naive,900,17.116078
Better,900,12.424115
BLAS,900,1.189672
Naive,900,18.495119
Better,900,12.100918
BLAS,900,1.083387
Naive,900,17.008769
Better,900,12.194273
BLAS,900,1.007048
Naive,900,16.847954
Better,900,11.469840
BLAS,900,1.086753
Naive,900,16.293978
Better,900,11.673423
BLAS,900,1.007803
Naive,900,16.977890
Better,900,12.007274
BLAS,900,1.006832
Naive,1000,23.814795
Better,1000,16.596159
BLAS,1000,1.486162
Naive,1000,23.634713
Better,1000,17.391687
BLAS,1000,1.456373
Naive,1000,24.609244
Better,1000,17.311679
BLAS,1000,1.471767
Naive,1000,24.477295
Better,1000,17.466706
BLAS,1000,1.472178
Naive,1000,24.639807
Better,1000,16.677526
BLAS,1000,1.450906
Naive,1000,24.031098
Better,1000,17.488653
BLAS,1000,1.459291
Naive,1000,24.471660
Better,1000,18.163371
BLAS,1000,2.455196
Naive,1000,24.413372
Better,1000,17.591045
BLAS,1000,1.460123
Naive,1000,24.668485
Better,1000,17.403888
BLAS,1000,1.457005
Naive,1000,24.100528
Better,1000,17.302134
BLAS,1000,1.460620
